oficina_id;nome_canonico;papeis;unidades;precisa_revisao;revisao;variantes
geferson-alan-dos-santos-silva;GEFERSON ALAN DOS SANTOS SILVA;absenteismo|eficiencia|producao|treino;;nao;;GEFERSON ALAN DOS SANTOS SILVA
helio-araujo-araujo-ind-de-conf;HELIO ARAUJO & ARAUJO IND. DE CONF. LTDA;absenteismo|treino;;nao;;HELIO ARAUJO & ARAUJO IND. DE CONF. LTDA
helio-araujo-industria-de-confeccoes;Helio araujo industria de confeccoes;treino;;nao;;Helio araujo industria de confeccoes
i-f-confeccoes;I F CONFECCOES LTDA;treino;;sim;Possível duplicata de 'IF CONFECCOES LTDA' (96%) / Possível duplicata de 'J F CONFECCOES LTDA' (93%);I F CONFECCOES LTDA
i-m-araujo;I M ARAÚJO;treino;;nao;;I M ARAÚJO
i-m-de-araujo-f-nogueira;I M DE ARAUJO F NOGUEIRA LTDA;absenteismo|producao|treino;;nao;;I M DE ARAUJO F NOGUEIRA LTDA | I M DE ARAUJO F. NOGUEIRA LTDA
i-m-de-oliveira-silva;I M DE OLIVEIRA SILVA;absenteismo|eficiencia|producao|treino;;nao;;I M DE OLIVEIRA SILVA | I M DE OLIVEIRA SILVA - EPP
ideal-confeccoes;IDEAL CONFECCOES LTDA BÁSICO;absenteismo|eficiencia|producao|treino;BASICO|CARGO|POLO;nao;;IDEAL CONFECCOES LTDA | IDEAL CONFECCOES LTDA BÁSICO | IDEAL CONFECCOES LTDA CARGO | IDEAL CONFECCOES LTDA POLO | IDEAL CONFECÇÕES LTDA | IDEAL CONFECCOES LTDA
if-confeccoes;IF CONFECCOES LTDA;absenteismo;;sim;Possível duplicata de 'I F CONFECCOES LTDA' (96%);IF CONFECCOES LTDA
industria-de-confeccoes-simao;INDUSTRIA DE CONFECCOES SIMAO LTDA;treino;;nao;;INDUSTRIA DE CONFECCOES SIMAO LTDA
ivanildo-jose-de-sousa;IVANILDO JOSE DE SOUSA - ME;absenteismo|eficiencia|producao;;sim;Possível duplicata de 'IVANILDO JOSE DE SOUZA - ME' (95%);IVANILDO JOSE DE SOUSA - ME
ivanildo-jose-de-souza;IVANILDO JOSE DE SOUZA - ME;treino;;sim;Possível duplicata de 'IVANILDO JOSE DE SOUSA - ME' (95%);IVANILDO JOSE DE SOUZA | IVANILDO JOSE DE SOUZA - ME | Ivanildo Jose de Souza ME
j-f-confeccoes;J F CONFECCOES LTDA;absenteismo|eficiencia|producao;;sim;Possível duplicata de 'I F CONFECCOES LTDA' (93%) / Possível duplicata de 'J M CONFECÇÕES & CIA LTDA MATRIZ' (93%);J F CONFECCOES LTDA
j-g-industria-e-comercio;J G INDUSTRIA E COMERCIO LTDA;treino;;sim;Possível duplicata de 'M & J INDUSTRIA E COMERCIO LTDA' (92%);J G INDUSTRIA E COMERCIO LTDA
j-geovane-p-batista-industria-textil;J GEOVANE P BATISTA INDUSTRIA TEXTIL LTDA;absenteismo;;nao;;J GEOVANE P BATISTA INDUSTRIA TEXTIL LTDA
j-m-confeccoes;J M CONFECÇÕES & CIA LTDA MATRIZ;absenteismo|eficiencia|producao;FILIAL|MATRIZ;sim;Possível duplicata de 'J F CONFECCOES LTDA' (93%) / Possível duplicata de 'JM confecções & cia ltda - MATRIZ' (96%);J M CONFECÇÕES & CIA LTDA FILIAL | J M CONFECÇÕES & CIA LTDA MATRIZ
j-r-c-botelho-comercial;J R C BOTELHO COMERCIAL LTDA;absenteismo|producao;;nao;;J R C BOTELHO COMERCIAL LTDA
j-s-silva;J. S. & SILVA LTDA;absenteismo|eficiencia|producao|treino;;nao;;J S & Silva ltda | J. S. & SILVA LTDA
jakeline-f-de-azevedo;JAKELINE F DE AZEVEDO - ME;absenteismo|eficiencia|producao|treino;;nao;;JAKELINE F DE AZEVEDO | JAKELINE F DE AZEVEDO - ME
januncio-nobrega-de-azevedo;JANUNCIO NOBREGA DE AZEVEDO;absenteismo|eficiencia|producao|treino;;nao;;JANUNCIO NOBREGA DE AZEVEDO
jayne-da-silva-panicio-limitada;JAYNE DA SILVA PANICIO LIMITADA;treino;;nao;;JAYNE DA SILVA PANICIO LIMITADA
jero-confeccoes;JERO CONFECCOES LTDA;absenteismo|treino;;nao;;JERO CONFECCOES LTDA | JERO CONFECÇÕES LTDA
jero-confeccoes-potengi-textil;JERO CONFECÇÕES/POTENGI TEXTIL;treino;;nao;;JERO CONFECÇÕES/POTENGI TEXTIL
jg-faccao;JG FACÇÃO LTDA;treino;;nao;;JG FACÇÃO LTDA
jk-industria-textil;JK INDUSTRIA TEXTIL LTDA;absenteismo|eficiencia|producao;;sim;Possível duplicata de 'M K INDUSTRIA TEXTIL LTDA' (92%);JK INDUSTRIA TEXTIL LTDA
jm-textil;JM TEXTIL LTDA;absenteismo|producao|treino;;nao;;JM TEXTIL LTDA
jm-confeccoes;JM confecções & cia ltda - MATRIZ;treino;FILIAL|MATRIZ;sim;Possível duplicata de 'J M CONFECÇÕES & CIA LTDA MATRIZ' (96%);JM confecções & cia ltda - FILIAL | JM confecções & cia ltda - MATRIZ | Jm confecções & cia matriz | Jm confecções &cia ltda filial
joli-textil-servicos-e-comercio;JOLI TEXTIL SERVICOS E COMERCIO LTDA;absenteismo|eficiencia|producao;;nao;;JOLI TEXTIL SERVICOS E COMERCIO LTDA
jose-medeiros-de-araujo;JOSE MEDEIROS DE ARAUJO;absenteismo|eficiencia|producao|treino;;nao;;JOSE MEDEIROS DE ARAUJO | José Medeiros de Araújo
joseni-maria-de-medeiros;JOSENI MARIA DE MEDEIROS;absenteismo|eficiencia|producao|treino;MALHA|POLO;nao;;JOSENI MARIA DE MEDEIROS | JOSENI MARIA DE MEDEIROS MALHA | JOSENI MARIA DE MEDEIROS POLO | Joseni Maria de Medeiros | Joseni Maria de Medeiros EPP
jucurutu-textil;JUCURUTU TEXTIL LTDA ME;absenteismo|eficiencia|producao|treino;;nao;;JUCURUTU TEXTIL LTDA | JUCURUTU TEXTIL LTDA ME | Jucurutu têxtil
joli-textil;Joli Têxtil;treino;;nao;;Joli Têxtil
ksw-confeccoes;KSW CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;;nao;;KSW CONFECÇÕES LTDA | ksw confecções
lajedo-jeans-confeccoes;LAJEDO JEANS CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;;nao;;LAJEDO JEANS CONFECCOES LTDA | LAJEDO JEANS CONFECÇÕES LTDA
lc-textil;LC TÊXTIL LTDA.;absenteismo|eficiencia|producao;BASICO|ELABORADO;nao;;LC TÊXTIL LTDA. | LC TÊXTIL LTDA. BÁSICO | LC TÊXTIL LTDA. ELABORADO
ld-confeccoes;LD CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;;nao;;LD CONFECCOES | LD CONFECÇÕES LTDA
leandro-matias-da-silva;LEANDRO MATIAS DA SILVA - ME;absenteismo|eficiencia|producao|treino;;nao;;LEANDRO MATIAS DA SILVA - ME | Leandro Matias da Silva ME
lima-confeccoes;LIMA CONFECCOES LTDA-ME;absenteismo|eficiencia|producao|treino;;sim;Possível duplicata de 'LÍNEA CONFECÇÕES' (90%);LIMA CONFECCOES LTDA | LIMA CONFECCOES LTDA-ME | Lima Confecções
linea-ind-com-ser-confeccoes;LINEA IND. COM. SER. CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;LINEA IND. COM. SER. CONFECCOES LTDA | LINEA IND. COM. SER. CONFECÇÕES LTDA
linea-industria-comercio-servicos-de-confeccoes;LINEA INDUSTRIA, COMERCIO & SERVICOS DE CONFECCOES LTDA;treino;;nao;;LINEA INDUSTRIA, COMERCIO & SERVICOS DE CONFECCOES LTDA
livia-reboucas-de-carvalho;LIVIA REBOUCAS DE CARVALHO - ME;absenteismo|eficiencia|producao|treino;;nao;;LIVIA REBOUCAS DE CARVALHO | LIVIA REBOUCAS DE CARVALHO - ME | Livia Rebouças de Carvalho -me
luiz-lupercio-da-silva-junior;LUIZ LUPERCIO DA SILVA JUNIOR;absenteismo|producao|treino;TEAR;nao;;LUIZ LUPERCIO DA SILVA JUNIOR | LUIZ LUPERCIO DA SILVA JUNIOR TEAR | LUIZ LUPÉRCIO DA SILVA JUNIOR | LUIZ LUPERCIO DA SILVA JUNIOR
linea-confeccoes;LÍNEA CONFECÇÕES;treino;;sim;Possível duplicata de 'LIMA CONFECCOES LTDA-ME' (90%);LÍNEA CONFECÇÕES
m-j-industria-e-comercio;M & J INDUSTRIA E COMERCIO LTDA;treino;;sim;Possível duplicata de 'J G INDUSTRIA E COMERCIO LTDA' (92%);M & J INDUSTRIA E COMERCIO LTDA
m-a-de-araujo-ferreira;M A DE ARAUJO FERREIRA;treino;;nao;;M A DE ARAUJO FERREIRA
m-a-p-forte-fortex-producao-textil;M A P FORTE FORTEX PRODUÇÃO TEXTIL;treino;;sim;Possível duplicata de 'FORTE FORTEX PRODUÇÃO TEXTIL' (90%);M A P FORTE FORTEX PRODUÇÃO TEXTIL
m-c-confeccoes;M C CONFECCOES LTDA;absenteismo|producao|treino;;nao;;M C CONFECCOES LTDA | M C CONFECÇÕES LTDA
m-dalison-de-medeiros;M DALISON DE MEDEIROS;absenteismo|eficiencia|producao|treino;;nao;;M DALISON DE MEDEIROS
m-k-de-azevedo-medeiros-industria-textil;M K DE AZEVEDO MEDEIROS INDUSTRIA TEXTIL;absenteismo|eficiencia|producao|treino;;nao;;M K DE AZEVEDO MEDEIROS INDUSTRIA TEXTIL
m-k-industria-textil;M K INDUSTRIA TEXTIL LTDA;absenteismo|eficiencia|producao|treino;;sim;Possível duplicata de 'JK INDUSTRIA TEXTIL LTDA' (92%);M K INDUSTRIA TEXTIL | M K INDUSTRIA TEXTIL LTDA
m-m-comercio-e-industria;M M COMERCIO E INDUSTRIA LTDA;treino;;nao;;M M COMERCIO E INDUSTRIA LTDA
m-m-faccao;M M FACÇÃO LTDA;treino;;nao;;M M FACÇÃO LTDA
m-dalison;M dalison;treino;;nao;;M dalison
m-f-empreendimentos;M. & F. EMPREENDIMENTOS LTDA;absenteismo|eficiencia|producao|treino;;nao;;M & F EMPREENDIMENTOS LTDA | M. & F. EMPREENDIMENTOS LTDA
m-a-vieira-de-almeida;M. A. VIEIRA DE ALMEIDA - ME;absenteismo|eficiencia|producao|treino;;nao;;M A VIEIRA DE ALMEIDA | M. A. VIEIRA DE ALMEIDA - ME
mansour-dantas-confeccoes;MANSOUR & DANTAS CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;;nao;;MANSOUR & DANTAS CONFECÇÕES LTDA | Mansour & Dantas Confecções
maranatha-companhia-textil;MARANATHA COMPANHIA TEXTIL LTDA;absenteismo|treino;;nao;;MARANATHA COMPANHIA TEXTIL LTDA
marionete-m-de-a-camara;MARIONETE M DE A CAMARA - ME;absenteismo|eficiencia|producao|treino;;nao;;MARIONETE M DE A CAMARA | MARIONETE M DE A CAMARA - ME | Marionete M de A Camara | Marionete M de A Câmara
maxwela-araujo-silva;MAXWELA ARAÚJO SILVA LTDA;absenteismo|eficiencia|producao|treino;POLO;nao;;MAXWELA ARAUJO SILVA LTDA | MAXWELA ARAÚJO SILVA LTDA | MAXWELA ARAÚJO SILVA LTDA POLO
mansour-e-dantas-confec;Mansour e Dantas confec Ltda.;treino;;nao;;Mansour e Dantas confec Ltda.
n-s-constantino;N S CONSTANTINO;absenteismo|eficiencia|producao|treino;;nao;;N S CONSTANTINO
nobre-confeccoes;NOBRE CONFECÇÕES LTDA ME;treino;;nao;;NOBRE CONFECCOES LTDA | NOBRE CONFECÇÕES LTDA ME
noel-pereira-de-azevedo-confeccao;NOEL PEREIRA DE AZEVEDO CONFECCAO;absenteismo|eficiencia|producao|treino;;nao;;NOEL PEREIRA DE AZEVEDO CONFECCAO | Noel Pereira de Azevedo confecção
nortec-industria-e-comercio;NORTEC INDUSTRIA E COMERCIO LTDA;absenteismo;;nao;;NORTEC INDUSTRIA E COMERCIO LTDA
nova-confeccoes;NOVA CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;NOVA CONFECCOES LTDA | Nova confecções
oficina-de-costura-santos;OFICINA DE COSTURA SANTOS LTDA;absenteismo|eficiencia|producao|treino;;nao;;OFICINA DE COSTURA SANTOS LTDA | Oficina de Costura Santos LTDA
p-a-confeccoes;P & A CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;P & A CONFECCOES LTDA | P&A confecções Ltda.
p-a-viturino-servicos-e-confeccoes;P A VITURINO SERVIÇOS E CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;;nao;;P A VITURINO SERVIÇOS E CONFECÇÕES LTDA | P A Viturino Serviços e Confecções Ltda
pedro-e-odair-confeccoes;PEDRO E ODAIR CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;;nao;;PEDRO E ODAIR CONFECÇÕES LTDA | Pedro e Odair confecções Ltda
poest;POEST;treino;;nao;;POEST
poest-industria-comercio-vestuario;POEST INDUSTRIA COMERCIO VESTUARIO LTDA;absenteismo|eficiencia|producao|treino;;sim;Possível duplicata de 'POEST INDUSTRIA E COMERCIO DE VESTUARIO LTDA' (93%);POEST INDUSTRIA COMERCIO VESTUARIO LTDA | POEST INDÚSTRIA COMERCIO VESTUÁRIO LTDA
poest-industria-e-comercio-de-vestuario;POEST INDUSTRIA E COMERCIO DE VESTUARIO LTDA;treino;;sim;Possível duplicata de 'POEST INDUSTRIA COMERCIO VESTUARIO LTDA' (93%);POEST INDUSTRIA E COMERCIO DE VESTUARIO LTDA | POEST indústria e comércio de vestuário Ltda
potengi-textil;POTENGI TEXTIL LTDA;absenteismo|eficiencia|producao|treino;POLO;nao;;POTENGI TEXTIL LTDA | POTENGI TEXTIL LTDA POLO | POTENGI TEXTIL LTDA PÓLO | Potengi Têxtil
progresso-industria-do-vestuario;PROGRESSO INDUSTRIA DO VESTUARIO LTDA;treino;;sim;Possível duplicata de 'PROGRESSO INDÚSTRIA DE VESTUÁRIO LTDA MATRIZ' (97%);PROGRESSO INDUSTRIA DO VESTUARIO LTDA
progresso-industria-de-vestuario;PROGRESSO INDÚSTRIA DE VESTUÁRIO LTDA MATRIZ;absenteismo;FILIAL|MATRIZ;sim;Possível duplicata de 'PROGRESSO INDUSTRIA DO VESTUARIO LTDA' (97%);PROGRESSO INDÚSTRIA DE VESTUÁRIO LTDA FILIAL | PROGRESSO INDÚSTRIA DE VESTUÁRIO LTDA MATRIZ
redencao-industria-de-vestuario;REDENCAO INDUSTRIA DE VESTUARIO LTDA;treino;;nao;;REDENCAO INDUSTRIA DE VESTUARIO LTDA
s-ramos-de-azevedo-neto-confeccoes;S RAMOS DE AZEVEDO NETO CONFECCOES;absenteismo|eficiencia|producao|treino;;nao;;S RAMOS DE AZEVEDO NETO CONFECCOES | S RAMOS DE AZEVEDO NETO CONFECÇÕES | S Ramos de Azevedo Neto confecções | S Ramos de Azevedo neto confecções
